"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.004155790E-1,-2.323105049E1,-4.937763214E0,2.248032951E1,3.270211656E1
7.054155790E-1,-2.449891090E1,-4.735218048E0,2.318030930E1,3.405797505E1
7.104155790E-1,-2.586903000E1,-4.563678265E0,2.331740189E1,3.512456552E1
7.154155790E-1,-2.733544540E1,-4.336277962E0,2.277467537E1,3.584293124E1
7.204155790E-1,-2.853618622E1,-4.278079033E0,2.160826111E1,3.604903372E1
7.254155790E-1,-2.998581505E1,-4.192512989E0,2.029164314E1,3.644827912E1
7.304155790E-1,-3.132734871E1,-3.884150505E0,1.886545181E1,3.677491909E1
7.354155790E-1,-3.253313065E1,-3.598165274E0,1.690068817E1,3.683727248E1
7.404155790E-1,-3.345236588E1,-3.434405088E0,1.443463993E1,3.659528318E1
7.454155790E-1,-3.371817780E1,-3.434624195E0,1.182276344E1,3.589554140E1
7.504155790E-1,-3.313702393E1,-3.594633102E0,9.459112167E0,3.464763404E1
7.554155790E-1,-3.209702682E1,-3.784664631E0,7.542407036E0,3.318780983E1
7.604155790E-1,-3.089890289E1,-3.824344873E0,6.291628838E0,3.176401119E1
7.654155790E-1,-2.978079224E1,-3.708147049E0,5.562302589E0,3.052187987E1
7.704155790E-1,-2.882395363E1,-3.442811489E0,5.339890480E0,2.951588867E1
7.754155790E-1,-2.819979858E1,-3.065508127E0,5.679241180E0,2.892887417E1
7.804155790E-1,-2.771117783E1,-2.454310894E0,6.134941578E0,2.848807692E1
7.854155790E-1,-2.733401299E1,-1.626534700E0,6.580839634E0,2.816205481E1
7.904155790E-1,-2.723542023E1,-7.832577229E-1,7.112740040E0,2.815977057E1
7.954155790E-1,-2.722798729E1,3.933906555E-5,7.526003361E0,2.824896491E1
8.004155790E-1,-2.695282173E1,7.022817135E-1,7.787091255E0,2.806397315E1
8.054155790E-1,-2.676502609E1,1.460020065E0,7.681904793E0,2.788386526E1
8.104155790E-1,-2.717617416E1,2.186601877E0,7.261785507E0,2.821452106E1
8.154155790E-1,-2.792398453E1,2.829355717E0,6.819833755E0,2.888363374E1
8.204155790E-1,-2.894907379E1,3.365967035E0,5.913081169E0,2.973790740E1
8.254155790E-1,-2.996457291E1,3.961413145E0,4.080109596E0,3.049943799E1
8.304155790E-1,-3.067710114E1,4.611380100E0,1.901434898E0,3.107997450E1
8.354155790E-1,-3.299100876E1,5.488373280E0,-4.551610947E-1,3.344751219E1
8.404155790E-1,-3.470484543E1,5.855419159E0,-3.122529030E0,3.533358767E1
8.454155790E-1,-3.525544739E1,5.577715874E0,-6.605313301E0,3.629996761E1
8.504155790E-1,-3.454711533E1,4.948386669E0,-9.565517426E0,3.618685993E1
8.554155790E-1,-3.331782532E1,4.364210606E0,-1.131214809E1,3.545544405E1
8.604155790E-1,-3.233583832E1,4.199320316E0,-1.198067570E1,3.473870062E1
8.654155790E-1,-3.187400436E1,4.435022354E0,-1.182405758E1,3.428454338E1
8.704155790E-1,-3.162767410E1,4.940670967E0,-1.131919479E1,3.395355901E1
8.754155790E-1,-3.121121597E1,5.366922855E0,-1.073094082E1,3.343795679E1
8.804155790E-1,-3.041508484E1,5.293486595E0,-9.729441643E0,3.236912759E1
8.854155790E-1,-2.950714874E1,4.940223217E0,-8.610457420E0,3.113225995E1
8.904155790E-1,-2.875222778E1,4.510358810E0,-7.648229599E0,3.009201481E1
8.954155790E-1,-2.811945915E1,4.119417191E0,-6.705504417E0,2.919995497E1
9.004155790E-1,-2.741366577E1,3.844966888E0,-5.905420303E0,2.830489057E1
9.054155790E-1,-2.670342255E1,3.699671030E0,-5.366919518E0,2.748752747E1
9.104155790E-1,-2.619613838E1,3.764781952E0,-4.721069336E0,2.688307544E1
9.154155790E-1,-2.568583679E1,3.523677349E0,-3.605999947E0,2.617597657E1
9.204155790E-1,-2.531159782E1,2.958786964E0,-2.344893456E0,2.559159882E1
9.254155790E-1,-2.493255997E1,2.608233690E0,-9.510269165E-1,2.508664748E1
9.304155790E-1,-2.493508148E1,2.203284979E0,1.012859344E-1,2.503243919E1
9.354155790E-1,-2.526043129E1,1.665982723E0,6.441822052E-1,2.532350406E1
9.404155790E-1,-2.550962067E1,1.318170309E0,1.757713318E0,2.560405975E1
9.454155790E-1,-2.589601326E1,1.047748446E0,3.775294304E0,2.619072597E1
9.504155790E-1,-2.602462006E1,6.292456985E-1,6.107334137E0,2.673904130E1
9.554155790E-1,-2.556592178E1,-7.664787769E-2,8.323707581E0,2.688691763E1
9.604155790E-1,-2.424677277E1,-1.384973764E0,9.770394325E0,2.617794391E1
9.654155790E-1,-2.287833405E1,-2.582450390E0,1.111656189E1,2.556687636E1
9.704155790E-1,-2.158811378E1,-3.453196764E0,1.263576508E1,2.525141152E1
9.754155790E-1,-1.990591049E1,-4.779776573E0,1.330395317E1,2.441488699E1
9.804155790E-1,-1.818154526E1,-6.476593971E0,1.360868645E1,2.361590998E1
9.854155790E-1,-1.687258530E1,-8.165038109E0,1.396018410E1,2.337175051E1
9.904155790E-1,-1.576109886E1,-9.274778366E0,1.450647163E1,2.334248209E1
9.954155790E-1,-1.449474907E1,-9.587502480E0,1.488449097E1,2.288156519E1
1.000415579E0,-1.304538536E1,-8.789609909E0,1.606596756E1,2.248454214E1
1.005415579E0,-1.134381962E1,-7.653237820E0,1.835111427E1,2.289143263E1
1.010415579E0,-9.783967018E0,-6.743109703E0,2.125310707E1,2.434933468E1
1.015415579E0,-8.030792236E0,-6.084782600E0,2.426663208E1,2.627522856E1
1.020415579E0,-5.727226257E0,-5.248570919E0,2.682490540E1,2.792712242E1
1.025415579E0,-2.500641346E0,-4.330341339E0,2.855772972E1,2.899222292E1
1.030415579E0,1.831084728E0,-4.055117130E0,3.034497833E1,3.066944010E1
1.035415579E0,6.259912968E0,-3.893825293E0,3.391670609E1,3.470866372E1
1.040415579E0,1.077020454E1,-3.554310799E0,3.906004333E1,4.067330103E1
1.045415579E0,1.521329880E1,-3.202497482E0,4.451814270E1,4.715469733E1
1.050415579E0,1.993792152E1,-2.419129848E0,4.999773407E1,5.388085296E1
1.055415579E0,2.482467270E1,-1.440773249E0,5.460695648E1,6.000216578E1
1.060415579E0,2.945839310E1,-1.517059505E-1,5.746288300E1,6.457401072E1
1.065415579E0,3.388022614E1,1.658513665E0,5.920232773E1,6.823148832E1
1.070415579E0,3.834286499E1,3.042994499E0,6.038489532E1,7.159448788E1
1.075415579E0,4.270249939E1,3.458671570E0,6.051886749E1,7.414849416E1
1.080415579E0,4.649451447E1,2.982609987E0,5.890597153E1,7.510359059E1
1.085415579E0,4.934280396E1,1.706306815E0,5.607490921E1,7.471291206E1
1.090415579E0,5.103900528E1,-4.502364993E-2,5.267048645E1,7.334277217E1
1.095415579E0,5.117653656E1,-1.856769204E0,4.901264191E1,7.088529151E1
1.100415579E0,4.988706207E1,-3.957071543E0,4.524473190E1,6.746453248E1
1.105415579E0,4.743231583E1,-6.214515686E0,4.115167618E1,6.310233943E1
1.110415579E0,4.408791351E1,-7.952145100E0,3.776166916E1,5.859116305E1
1.115415579E0,4.055166626E1,-9.553633690E0,3.415167618E1,5.387064636E1
1.120415579E0,3.640496445E1,-1.062714672E1,3.082666969E1,4.887270453E1
1.125415579E0,3.113805389E1,-1.095568562E1,2.834100342E1,4.350652735E1
1.130415579E0,2.574138260E1,-1.108763027E1,2.683008194E1,3.879958273E1
1.135415579E0,2.100386238E1,-1.112736702E1,2.594716454E1,3.518857597E1
1.140415579E0,1.693962097E1,-1.104038048E1,2.559098816E1,3.261501855E1
1.145415579E0,1.333548641E1,-1.088028240E1,2.571161270E1,3.094030980E1
1.150415579E0,1.006140137E1,-1.067679691E1,2.604440308E1,2.989208459E1
1.155415579E0,7.082775116E0,-1.024234200E1,2.632290649E1,2.911986743E1
1.160415579E0,4.441381454E0,-9.647821426E0,2.625733185E1,2.832408522E1
1.165415579E0,1.991046906E0,-8.791593552E0,2.604903412E1,2.756462522E1
1.170415579E0,-4.436206818E-1,-7.676812649E0,2.559331894E1,2.672355190E1
1.175415579E0,-2.947684288E0,-6.495412827E0,2.482227516E1,2.582681890E1
1.180415579E0,-5.504815102E0,-5.523881435E0,2.364055252E1,2.489361322E1
1.185415579E0,-8.101108551E0,-4.831704617E0,2.236716843E1,2.427475134E1
1.190415579E0,-1.078664303E1,-4.412240028E0,2.136956024E1,2.434086348E1
1.195415579E0,-1.354908085E1,-4.189494610E0,2.064422417E1,2.504622623E1
1.200415579E0,-1.627324104E1,-4.105944157E0,2.001246262E1,2.611849558E1
1.205415579E0,-1.866580200E1,-4.153632641E0,1.919641304E1,2.709551812E1
1.210415579E0,-2.072330666E1,-4.154660225E0,1.822834015E1,2.791037486E1
1.215415579E0,-2.260671234E1,-3.973835945E0,1.760280991E1,2.892600442E1
1.220415579E0,-2.411978531E1,-3.768501282E0,1.695434380E1,2.972230507E1
1.225415579E0,-2.516596603E1,-3.266618967E0,1.615460396E1,3.008268397E1
1.230415579E0,-2.604329491E1,-2.504638672E0,1.565976906E1,3.049188075E1
1.235415579E0,-2.676801491E1,-1.570390701E0,1.531798172E1,3.088095389E1
1.240415579E0,-2.726236725E1,-6.481761336E-1,1.495785713E1,3.110296273E1
1.245415579E0,-2.748772430E1,1.246953607E-1,1.464874458E1,3.114765247E1
1.250415579E0,-2.740772057E1,7.863569856E-1,1.454282761E1,3.103699951E1
1.255415579E0,-2.750275993E1,1.897508502E0,1.455715370E1,3.117552031E1
1.260415579E0,-2.800775528E1,2.756342173E0,1.401695251E1,3.144052696E1
1.265415579E0,-2.908851624E1,3.791424274E0,1.243298912E1,3.186056957E1
1.270415579E0,-3.045840073E1,4.770786762E0,1.015887642E1,3.246039666E1
1.275415579E0,-3.166539383E1,5.433424950E0,7.773372650E0,3.305517502E1
1.280415579E0,-3.267174530E1,5.835235119E0,5.778252602E0,3.368799657E1
1.285415579E0,-3.360288620E1,6.103365421E0,4.207281590E0,3.441084493E1
1.290415579E0,-3.448941422E1,6.227246761E0,3.096936226E0,3.518365116E1
1.295415579E0,-3.515077972E1,6.272150040E0,2.402265072E0,3.578670226E1
1.300415579E0,-3.541448212E1,6.399771690E0,2.324432373E0,3.606307817E1
1.305415579E0,-3.526428223E1,6.548664093E0,2.009059906E0,3.592340357E1
1.310415579E0,-3.487220001E1,6.562729836E0,1.899733067E0,3.553517613E1
1.315415579E0,-3.419908142E1,6.459080696E0,1.396193981E0,3.483168459E1
1.320415579E0,-3.344073868E1,6.296416283E0,7.487678528E-1,3.403657613E1
1.325415579E0,-3.245626068E1,6.218659878E0,-4.072399139E-1,3.304915177E1
1.330415579E0,-3.303175735E1,5.934001923E0,-1.403643608E0,3.358987330E1
1.335415579E0,-3.371816635E1,6.215310097E0,-3.797231674E0,3.449585178E1
1.340415579E0,-3.436112213E1,6.641090870E0,-5.936972618E0,3.549702024E1
1.345415579E0,-3.470778656E1,7.020610332E0,-7.842353821E0,3.626874592E1
1.350415579E0,-3.478502655E1,7.172167301E0,-9.529741287E0,3.677300674E1
1.355415579E0,-3.511671066E1,7.541790962E0,-1.071591854E1,3.748190082E1
1.360415579E0,-3.544699860E1,7.799549103E0,-1.098514080E1,3.792091763E1
1.365415579E0,-3.573623657E1,7.726314545E0,-1.041267681E1,3.801576488E1
1.370415579E0,-3.613243103E1,7.265812874E0,-9.013721466E0,3.794195282E1
1.375415579E0,-3.659681702E1,6.596313477E0,-6.847151756E0,3.781166294E1
1.380415579E0,-3.700913620E1,5.890782356E0,-4.307388306E0,3.772175862E1
1.385415579E0,-3.716448212E1,5.155114174E0,-1.706159592E0,3.755908563E1
1.390415579E0,-3.690257263E1,4.525668144E0,7.416591644E-1,3.718644373E1
1.395415579E0,-3.618947220E1,3.838706017E0,2.878376484E0,3.650614487E1
1.400415579E0,-3.547341537E1,3.158374071E0,4.332330227E0,3.587628200E1
1.405415579E0,-3.485965347E1,2.639521122E0,4.878921509E0,3.529824907E1
1.410415579E0,-3.437114716E1,2.353517532E0,4.895642281E0,3.479773146E1
1.415415579E0,-3.409437561E1,2.321395636E0,4.884189129E0,3.452058269E1
1.420415579E0,-3.399220276E1,2.451470375E0,5.172994614E0,3.447084897E1
1.425415579E0,-3.401715851E1,2.630994320E0,5.828703403E0,3.461304649E1
1.430415579E0,-3.399300003E1,2.767523289E0,6.617049694E0,3.474145338E1
1.435415579E0,-3.387629318E1,2.866661310E0,7.194979668E0,3.475037725E1
1.440415579E0,-3.354892731E1,2.944601059E0,7.785155296E0,3.456602149E1
1.445415579E0,-3.277633286E1,3.030396938E0,8.530529022E0,3.400354726E1
1.450415579E0,-3.158668518E1,3.103933096E0,9.307657242E0,3.307545260E1
1.455415579E0,-3.051428604E1,3.304187059E0,1.091943741E1,3.257719168E1
1.460415579E0,-3.005404472E1,3.536807537E0,1.316037846E1,3.299924504E1
1.465415579E0,-2.987952423E1,3.750695229E0,1.554673576E1,3.389033307E1
1.470415579E0,-2.934214783E1,3.614111423E0,1.929542160E1,3.530349466E1
1.475415579E0,-2.731230354E1,2.624550581E0,2.460809708E1,3.685659551E1
1.480415579E0,-2.357272720E1,8.876044154E-1,2.923921585E1,3.756851146E1
1.485415579E0,-1.891467094E1,-1.166940928E0,3.372981644E1,3.868884910E1
1.490415579E0,-1.435021782E1,-2.893167734E0,3.731328583E1,4.008217148E1
1.495415579E0,-1.003305244E1,-4.209352970E0,3.990723801E1,4.136385426E1
1.500415579E0,-5.561463833E0,-5.025761604E0,4.062689209E1,4.131261939E1
1.505415579E0,-7.820630074E-1,-5.806374073E0,3.990255356E1,4.033037792E1
1.510415579E0,3.770295143E0,-7.987906933E0,3.979777908E1,4.076622380E1
1.515415579E0,7.407461643E0,-1.103469276E1,4.037945557E1,4.251041477E1
1.520415579E0,1.052461433E1,-1.330085468E1,4.337536240E1,4.657362242E1
1.525415579E0,1.419531441E1,-1.533036995E1,4.977381134E1,5.398110308E1
1.530415579E0,1.855077744E1,-1.784102821E1,5.598022461E1,6.161346589E1
