"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.877414770E-1,-3.955030441E-2,3.876876831E-1,3.110828400E-1,4.986366408E-1
8.927414770E-1,-3.775304556E-2,3.949508667E-1,1.893129349E-1,4.396030788E-1
8.977414770E-1,-2.325761318E-2,4.000153542E-1,7.144641876E-2,4.070107995E-1
9.027414770E-1,2.352595329E-3,4.121799469E-1,-2.574062347E-2,4.129896161E-1
9.077414770E-1,3.334465623E-2,4.461808205E-1,-1.001491547E-1,4.584965036E-1
9.127414770E-1,5.683693290E-2,4.968976974E-1,-1.157331467E-1,5.133536012E-1
9.177414770E-1,2.340462804E-2,6.773138046E-1,-1.116046906E-1,6.868459605E-1
9.227414770E-1,-1.034062803E-1,9.840993881E-1,-2.201843262E-2,9.897622320E-1
9.277414770E-1,-9.819608927E-2,9.688878059E-1,-1.107072830E-1,9.801235407E-1
9.327414770E-1,2.306103706E-3,8.218674660E-1,-1.520156860E-1,8.358111142E-1
9.377414770E-1,1.921480745E-1,6.052093506E-1,-8.898639679E-2,6.411846999E-1
9.427414770E-1,3.799121678E-1,4.135904312E-1,-2.564239502E-2,5.621813163E-1
9.477414770E-1,4.824048579E-1,3.225626945E-1,-1.704120636E-2,5.805614020E-1
9.527414770E-1,5.008680224E-1,3.021860123E-1,-3.705120087E-2,5.861381692E-1
9.577414770E-1,4.735409319E-1,2.917480469E-1,-7.705402374E-2,5.615115846E-1
9.627414770E-1,4.503861070E-1,2.748126984E-1,-1.260795593E-1,5.424626437E-1
9.677414770E-1,4.205306768E-1,2.624688148E-1,-1.483459473E-1,5.174383529E-1
9.727414770E-1,3.295642138E-1,2.875952721E-1,-8.725261688E-2,4.460231279E-1
9.777414770E-1,1.990573108E-1,3.390002251E-1,-1.890945435E-2,3.935765911E-1
9.827414770E-1,7.149621099E-2,3.978915215E-1,-2.976417542E-2,4.053582085E-1
9.877414770E-1,-6.197430193E-2,4.169783592E-1,-7.110595703E-2,4.275135358E-1
9.927414770E-1,-1.863498688E-1,4.144983292E-1,-1.129236221E-1,4.682807736E-1
9.977414770E-1,-2.952251732E-1,4.271535873E-1,-1.409940720E-1,5.380496431E-1
1.002741477E0,-3.962745368E-1,4.295110703E-1,-1.280632019E-1,5.982586829E-1
1.007741477E0,-4.708865881E-1,4.445600510E-1,-1.047906876E-1,6.560098368E-1
1.012741477E0,-5.546977520E-1,5.198354721E-1,-4.589748383E-2,7.615937849E-1
1.017741477E0,-6.375505924E-1,8.577752113E-1,6.756019592E-2,1.070893763E0
1.022741477E0,-7.566022277E-1,9.967727661E-1,1.987552643E-1,1.267085843E0
1.027741477E0,-8.264700174E-1,1.031033039E0,1.036424637E-1,1.325452216E0
1.032741477E0,-8.354929686E-1,9.656271935E-1,1.114425659E-1,1.281758098E0
1.037741477E0,-7.721683979E-1,8.753399849E-1,1.695423126E-1,1.179495112E0
1.042741477E0,-6.355828047E-1,8.626413345E-1,2.563047409E-1,1.101729410E0
1.047741477E0,-4.894965291E-1,9.273457527E-1,3.435058594E-1,1.103437027E0
1.052741477E0,-3.912699819E-1,9.988875389E-1,5.023956299E-1,1.184596929E0
1.057741477E0,-3.395423889E-1,1.043375015E0,7.244205475E-1,1.314802489E0
1.062741477E0,-2.985858023E-1,1.029042721E0,1.009204865E0,1.471929639E0
1.067741477E0,-2.151613235E-1,9.254403114E-1,1.323047638E0,1.628861325E0
1.072741477E0,-1.078052223E-1,7.499051094E-1,1.638842583E0,1.805487372E0
1.077741477E0,-6.135977805E-3,5.321164131E-1,1.960455894E0,2.031396771E0
1.082741477E0,6.964830309E-2,3.164744377E-1,2.232807159E0,2.256199186E0
1.087741477E0,1.103132963E-1,1.549153328E-1,2.450989723E0,2.458356851E0
1.092741477E0,9.532847255E-2,8.394575119E-2,2.585717201E0,2.588835231E0
1.097741477E0,6.414926797E-2,8.493280411E-2,2.641854286E0,2.643997500E0
1.102741477E0,2.790555358E-3,1.630353928E-1,2.673325539E0,2.678293815E0
1.107741477E0,-6.884076446E-2,3.065752983E-1,2.698445320E0,2.716677127E0
1.112741477E0,-1.171457469E-1,4.433951378E-1,2.704995155E0,2.743596392E0
1.117741477E0,-1.153639778E-1,5.351009369E-1,2.654671669E0,2.710520896E0
1.122741477E0,-7.983040810E-2,5.686073303E-1,2.548368454E0,2.612253619E0
1.127741477E0,-7.496654987E-3,5.479416847E-1,2.396020889E0,2.457887791E0
1.132741477E0,1.150897443E-1,4.455132484E-1,2.245928764E0,2.292580144E0
1.137741477E0,3.001490831E-1,2.844099998E-1,2.158347130E0,2.197598884E0
1.142741477E0,5.567562580E-1,3.334474564E-2,2.188888550E0,2.258832107E0
1.147741477E0,8.632322550E-1,-1.524844170E-1,2.273349762E0,2.436501706E0
1.152741477E0,1.051459908E0,-2.480049133E-1,2.324898720E0,2.563635784E0
1.157741477E0,1.153755426E0,-2.929954529E-1,2.281616211E0,2.573474393E0
1.162741477E0,1.178686023E0,-1.843256950E-1,2.194927216E0,2.498195786E0
1.167741477E0,1.184444308E0,-1.029152870E-1,2.193050385E0,2.494588115E0
1.172741477E0,1.309573650E0,-2.694945335E-1,2.149820328E0,2.531667018E0
1.177741477E0,1.441176891E0,-4.033823013E-1,2.054049492E0,2.541422324E0
1.182741477E0,1.596357942E0,-5.877809525E-1,1.887231827E0,2.540765454E0
1.187741477E0,1.768330097E0,-8.200860023E-1,1.700504303E0,2.586744531E0
1.192741477E0,1.915954351E0,-1.088816643E0,1.543902397E0,2.690731754E0
1.197741477E0,2.019563198E0,-1.364014149E0,1.480968475E0,2.851742929E0
1.202741477E0,2.108180285E0,-1.638857365E0,1.497713089E0,3.061604493E0
1.207741477E0,2.123369217E0,-1.809925318E0,1.569484711E0,3.201219884E0
1.212741477E0,2.032888412E0,-1.830828667E0,1.671727180E0,3.206125492E0
1.217741477E0,1.852180362E0,-1.763396502E0,1.790694237E0,3.121974562E0
1.222741477E0,1.669413924E0,-1.670639038E0,1.876021385E0,3.016195266E0
1.227741477E0,1.490989804E0,-1.622843742E0,1.935645103E0,2.933154339E0
1.232741477E0,1.364966631E0,-1.626269341E0,2.097727776E0,2.984685526E0
1.237741477E0,1.295859456E0,-1.620824337E0,2.657002449E0,3.371347694E0
1.242741477E0,1.191703320E0,-1.620068073E0,3.293868065E0,3.859319136E0
1.247741477E0,1.088401794E0,-1.679668665E0,3.629562378E0,4.144831522E0
1.252741477E0,1.023846626E0,-1.795161724E0,3.800397873E0,4.325955562E0
1.257741477E0,9.943721294E-1,-1.926249504E0,3.858875275E0,4.426074047E0
1.262741477E0,9.572577477E-1,-1.988971472E0,3.841211319E0,4.430265715E0
1.267741477E0,9.155923128E-1,-1.970004559E0,3.667764664E0,4.262830617E0
1.272741477E0,8.373925686E-1,-1.879812717E0,3.295403481E0,3.885177765E0
1.277741477E0,7.443785071E-1,-1.761255026E0,2.795338631E0,3.386744261E0
1.282741477E0,6.776968241E-1,-1.634408951E0,2.239998817E0,2.854498258E0
1.287741477E0,6.506004930E-1,-1.528153419E0,1.660511971E0,2.348581248E0
1.292741477E0,6.752898693E-1,-1.482365131E0,1.082328796E0,1.955724524E0
1.297741477E0,7.361413240E-1,-1.463029385E0,5.331602097E-1,1.722387540E0
