"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.115922196E0,-2.072368115E-1,7.672333717E-1,-9.142937660E-1,1.211415384E0
1.120922196E0,-1.956212670E-1,7.876715660E-1,-9.105672836E-1,1.219765122E0
1.125922196E0,-7.641236484E-2,7.010965347E-1,-8.675880432E-1,1.118071649E0
1.130922196E0,-9.259453416E-2,7.516498566E-1,-8.705358505E-1,1.153856110E0
1.135922196E0,-1.332311630E-1,8.576316833E-1,-8.133254051E-1,1.189445611E0
1.140922196E0,-1.413763314E-1,9.453043938E-1,-7.297306061E-1,1.202536661E0
1.145922196E0,-1.389755309E-1,1.021814823E0,-6.589756012E-1,1.223792701E0
1.150922196E0,-1.254264563E-1,1.078944206E0,-5.907211304E-1,1.236448078E0
1.155922196E0,-9.970565140E-2,1.086521626E0,-5.098209381E-1,1.204320492E0
1.160922196E0,-1.119546443E-1,1.086711407E0,-4.347734451E-1,1.175799078E0
1.165922196E0,-1.328670681E-1,1.113204479E0,-3.790855408E-1,1.183462597E0
1.170922196E0,-1.663254201E-1,1.163316250E0,-2.967958450E-1,1.212046458E0
1.175922196E0,-2.175787687E-1,1.218292713E0,-2.289171219E-1,1.258562952E0
1.180922196E0,-2.549276948E-1,1.257022858E0,-1.407289505E-1,1.290309743E0
1.185922196E0,-2.696909308E-1,1.239571571E0,-4.981040955E-2,1.269547934E0
1.190922196E0,-2.741732299E-1,1.196970940E0,-6.570816040E-3,1.227987608E0
1.195922196E0,-2.715343237E-1,1.142168045E0,3.152084351E-2,1.174424240E0
1.200922196E0,-2.616116703E-1,1.092518806E0,5.479621887E-2,1.124740252E0
1.205922196E0,-2.595156729E-1,1.063261032E0,4.504394531E-2,1.095400093E0
1.210922196E0,-2.637681365E-1,1.041623116E0,4.965209961E-2,1.075647561E0
1.215922196E0,-2.758657634E-1,1.034598827E0,4.544258118E-2,1.071709700E0
1.220922196E0,-2.859128118E-1,1.024621010E0,4.578304291E-2,1.064749002E0
1.225922196E0,-2.772722244E-1,1.004375935E0,4.760074615E-2,1.043032471E0
1.230922196E0,-2.777849734E-1,9.933657646E-1,5.593299866E-2,1.032990094E0
1.235922196E0,-2.615014017E-1,9.576411247E-1,6.152534485E-2,9.946079001E-1
1.240922196E0,-2.402587235E-1,9.108924866E-1,4.522132874E-2,9.431300785E-1
1.245922196E0,-2.223867178E-1,8.698430061E-1,2.213191986E-2,8.980938311E-1
1.250922196E0,-2.210703641E-1,8.288278580E-1,-1.479530334E-2,8.579315969E-1
1.255922196E0,-2.431319207E-1,8.109159470E-1,-2.757644653E-2,8.470290811E-1
1.260922196E0,-2.498713583E-1,7.847361565E-1,-4.137516022E-2,8.245959222E-1
1.265922196E0,-2.801364660E-1,7.643418312E-1,-3.523063660E-2,8.148227245E-1
1.270922196E0,-3.218131363E-1,7.691683769E-1,-1.060295105E-2,8.338441757E-1
1.275922196E0,-3.842973113E-1,7.754888535E-1,2.450370789E-2,8.658335966E-1
1.280922196E0,-4.347295761E-1,7.961015701E-1,8.354473114E-2,9.109046253E-1
1.285922196E0,-4.662078917E-1,7.640571594E-1,1.354150772E-1,9.052460352E-1
1.290922196E0,-4.768029749E-1,7.434949875E-1,2.056808472E-1,9.068795313E-1
